q,seed,ok,n_rec,matched,x,y,kappa_star,slope,m2d_rec,m2d_true,rchi2
0.5,5300,True,1,False,nan,nan,nan,nan,1176599030075792.0,125685604587095.86,9.915531118893593
0.5,5301,True,2,True,-11.719009838770448,-3.743311465116596,1.951741566075436,0.10000002025819893,1525764866038546.5,125685604587095.86,1.7039110170249343
0.5,5302,True,1,False,nan,nan,nan,nan,764483969204040.5,125685604587095.86,8.558306383136102
0.5,5303,True,1,True,5.364376882256033,0.7689318435305265,0.9699533845134386,0.31282592393633313,452057537609467.9,125685604587095.86,1.0763281546648935
0.5,5304,True,2,True,-1.6084167875401798,-5.552714255986505,1.276087239504911,0.1804976107161205,697465433490218.4,125685604587095.86,2.494417023484584
0.5,5305,True,1,True,-1.8703397290191563,0.6861815891399087,0.896769144266236,0.5844197990893067,425910936373772.56,125685604587095.86,7.154801876132456
0.5,5306,True,2,True,0.03292268379378266,-0.8590071533734804,0.6175813141770234,0.47846393757046185,330110403023574.9,125685604587095.86,1.1587743823073544
0.5,5307,True,1,False,nan,nan,nan,nan,280727933763906.28,125685604587095.86,2.0571075610540954
0.5,5308,True,2,False,nan,nan,nan,nan,1576217037581265.5,125685604587095.86,1.6977486757149869
0.5,5309,True,1,False,nan,nan,nan,nan,648745813164505.5,125685604587095.86,1.6371348767741336
0.5,5310,True,1,True,0.9744357523373113,-1.663901182144415,0.7244978481514095,0.4715899469635584,340119858286482.06,125685604587095.86,1.2193433119653365
0.5,5311,True,2,False,nan,nan,nan,nan,1577364563681352.0,125685604587095.86,3.5474243886993095
0.5,5312,True,1,True,1.1071907173807192,0.1833398675166135,0.9781284491601496,0.3190277037821331,455915785402527.44,125685604587095.86,1.133892372088254
0.5,5313,True,2,False,nan,nan,nan,nan,1103894655728693.6,125685604587095.86,1.927438913441648
0.5,5314,True,2,True,1.3452015983415748,-3.41883356246513,0.4385507780456707,0.6212534561620391,269130815860981.1,125685604587095.86,1.1497510984365589
0.5,5315,True,1,False,nan,nan,nan,nan,777993527378546.8,125685604587095.86,1.5594457129385713
0.5,5316,True,2,True,0.2632357869093699,0.5758810247965584,0.4601115340494185,0.5358017180208149,295671196893321.25,125685604587095.86,1.130366913958104
0.5,5317,True,2,False,nan,nan,nan,nan,2186743716076156.8,125685604587095.86,1.4664241539311893
0.5,5318,True,1,True,0.430182219748109,0.26296205092189595,0.6264487199595643,0.4575982497141913,293783566673677.3,125685604587095.86,1.1219475961773158
0.5,5319,True,1,False,nan,nan,nan,nan,4757524012435.899,125685604587095.86,1.463100227626172
0.5,5320,True,1,False,nan,nan,nan,nan,152384161041.90457,125685604587095.86,1.821926255562648
0.5,5321,True,2,True,2.1157761947188303,1.8729364289433315,1.525648162341856,0.21295181774389874,950250623299546.1,125685604587095.86,1.1938514557174482
0.5,5322,True,1,True,-5.806535804475538,-3.0278216529231257,1.675159253447142,0.2143095244252537,780781514926344.4,125685604587095.86,1.3875003300538764
